age,history,risk_class,action
40,0,0,0
40,0,1,0
40,0,2,0
40,0,3,0
40,0,4,0
40,1,0,0
40,1,1,0
40,1,2,0
40,1,3,0
40,1,4,0
40,2,0,0
40,2,1,0
40,2,2,0
40,2,3,0
40,2,4,0
40,3,0,1
40,3,1,1
40,3,2,0
40,3,3,0
40,3,4,1
40,4,0,1
40,4,1,1
40,4,2,0
40,4,3,0
40,4,4,1
40,5,0,1
40,5,1,1
40,5,2,0
40,5,3,0
40,5,4,1
40,6,0,1
40,6,1,1
40,6,2,0
40,6,3,0
40,6,4,1
40,7,0,1
40,7,1,1
40,7,2,0
40,7,3,0
40,7,4,1
40,8,0,1
40,8,1,1
40,8,2,0
40,8,3,0
40,8,4,1
40,9,0,1
40,9,1,1
40,9,2,0
40,9,3,0
40,9,4,1
40,10,0,1
40,10,1,1
40,10,2,0
40,10,3,0
40,10,4,1
41,0,0,0
41,0,1,0
41,0,2,0
41,0,3,0
41,0,4,0
41,1,0,0
41,1,1,0
41,1,2,0
41,1,3,0
41,1,4,0
41,2,0,0
41,2,1,0
41,2,2,0
41,2,3,0
41,2,4,0
41,3,0,1
41,3,1,1
41,3,2,0
41,3,3,1
41,3,4,0
41,4,0,1
41,4,1,1
41,4,2,0
41,4,3,1
41,4,4,0
41,5,0,1
41,5,1,1
41,5,2,0
41,5,3,1
41,5,4,0
41,6,0,1
41,6,1,1
41,6,2,0
41,6,3,1
41,6,4,0
41,7,0,1
41,7,1,1
41,7,2,0
41,7,3,1
41,7,4,0
41,8,0,1
41,8,1,1
41,8,2,0
41,8,3,1
41,8,4,0
41,9,0,1
41,9,1,1
41,9,2,0
41,9,3,1
41,9,4,0
41,10,0,1
41,10,1,1
41,10,2,0
41,10,3,1
41,10,4,0
42,0,0,0
42,0,1,0
42,0,2,0
42,0,3,0
42,0,4,0
42,1,0,0
42,1,1,0
42,1,2,0
42,1,3,0
42,1,4,0
42,2,0,0
42,2,1,0
42,2,2,0
42,2,3,0
42,2,4,0
42,3,0,1
42,3,1,1
42,3,2,0
42,3,3,0
42,3,4,0
42,4,0,1
42,4,1,1
42,4,2,0
42,4,3,0
42,4,4,0
42,5,0,1
42,5,1,1
42,5,2,0
42,5,3,0
42,5,4,0
42,6,0,1
42,6,1,1
42,6,2,0
42,6,3,0
42,6,4,0
42,7,0,1
42,7,1,1
42,7,2,0
42,7,3,0
42,7,4,0
42,8,0,1
42,8,1,1
42,8,2,0
42,8,3,0
42,8,4,0
42,9,0,1
42,9,1,1
42,9,2,0
42,9,3,0
42,9,4,0
42,10,0,1
42,10,1,1
42,10,2,0
42,10,3,0
42,10,4,0
43,0,0,0
43,0,1,0
43,0,2,0
43,0,3,0
43,0,4,0
43,1,0,0
43,1,1,0
43,1,2,0
43,1,3,0
43,1,4,0
43,2,0,0
43,2,1,0
43,2,2,0
43,2,3,0
43,2,4,0
43,3,0,1
43,3,1,1
43,3,2,1
43,3,3,0
43,3,4,0
43,4,0,1
43,4,1,1
43,4,2,1
43,4,3,0
43,4,4,0
43,5,0,1
43,5,1,1
43,5,2,1
43,5,3,0
43,5,4,0
43,6,0,1
43,6,1,1
43,6,2,1
43,6,3,0
43,6,4,0
43,7,0,1
43,7,1,1
43,7,2,1
43,7,3,0
43,7,4,0
43,8,0,1
43,8,1,1
43,8,2,1
43,8,3,0
43,8,4,0
43,9,0,1
43,9,1,1
43,9,2,1
43,9,3,0
43,9,4,0
43,10,0,1
43,10,1,1
43,10,2,1
43,10,3,0
43,10,4,0
44,0,0,0
44,0,1,0
44,0,2,0
44,0,3,0
44,0,4,0
44,1,0,0
44,1,1,0
44,1,2,0
44,1,3,0
44,1,4,0
44,2,0,0
44,2,1,0
44,2,2,0
44,2,3,0
44,2,4,0
44,3,0,1
44,3,1,0
44,3,2,0
44,3,3,0
44,3,4,1
44,4,0,1
44,4,1,0
44,4,2,0
44,4,3,0
44,4,4,1
44,5,0,1
44,5,1,0
44,5,2,0
44,5,3,0
44,5,4,1
44,6,0,1
44,6,1,0
44,6,2,0
44,6,3,0
44,6,4,1
44,7,0,1
44,7,1,0
44,7,2,0
44,7,3,0
44,7,4,1
44,8,0,1
44,8,1,0
44,8,2,0
44,8,3,0
44,8,4,1
44,9,0,1
44,9,1,0
44,9,2,0
44,9,3,0
44,9,4,1
44,10,0,1
44,10,1,0
44,10,2,0
44,10,3,0
44,10,4,1
45,0,0,0
45,0,1,0
45,0,2,0
45,0,3,0
45,0,4,0
45,1,0,0
45,1,1,0
45,1,2,0
45,1,3,0
45,1,4,0
45,2,0,0
45,2,1,0
45,2,2,0
45,2,3,0
45,2,4,0
45,3,0,1
45,3,1,0
45,3,2,0
45,3,3,1
45,3,4,0
45,4,0,1
45,4,1,0
45,4,2,0
45,4,3,1
45,4,4,0
45,5,0,1
45,5,1,0
45,5,2,0
45,5,3,1
45,5,4,0
45,6,0,1
45,6,1,0
45,6,2,0
45,6,3,1
45,6,4,0
45,7,0,1
45,7,1,0
45,7,2,0
45,7,3,1
45,7,4,0
45,8,0,1
45,8,1,0
45,8,2,0
45,8,3,1
45,8,4,0
45,9,0,1
45,9,1,0
45,9,2,0
45,9,3,1
45,9,4,0
45,10,0,1
45,10,1,0
