age,history,risk_class,screens_used,action
40,0,0,0,0
40,0,0,1,0
40,0,0,2,0
40,0,1,0,0
40,0,1,1,0
40,0,1,2,0
40,1,0,0,0
40,1,0,1,0
40,1,0,2,0
40,1,1,0,0
40,1,1,1,0
40,1,1,2,0
40,2,0,0,0
40,2,0,1,0
40,2,0,2,0
40,2,1,0,0
40,2,1,1,0
40,2,1,2,0
40,3,0,0,1
40,3,0,1,0
40,3,0,2,0
40,3,1,0,0
40,3,1,1,0
40,3,1,2,0
40,4,0,0,1
40,4,0,1,0
40,4,0,2,0
40,4,1,0,0
40,4,1,1,0
40,4,1,2,0
40,5,0,0,1
40,5,0,1,0
40,5,0,2,0
40,5,1,0,0
40,5,1,1,0
40,5,1,2,0
40,6,0,0,1
40,6,0,1,0
40,6,0,2,0
40,6,1,0,0
40,6,1,1,0
40,6,1,2,0
40,7,0,0,1
40,7,0,1,0
40,7,0,2,0
40,7,1,0,0
40,7,1,1,0
40,7,1,2,0
40,8,0,0,1
40,8,0,1,0
40,8,0,2,0
40,8,1,0,0
40,8,1,1,0
40,8,1,2,0
40,9,0,0,1
40,9,0,1,0
40,9,0,2,0
40,9,1,0,0
40,9,1,1,0
40,9,1,2,0
40,10,0,0,1
40,10,0,1,0
40,10,0,2,0
40,10,1,0,0
40,10,1,1,0
40,10,1,2,0
41,0,0,0,0
41,0,0,1,0
41,0,0,2,0
41,0,1,0,0
41,0,1,1,0
41,0,1,2,0
41,1,0,0,0
41,1,0,1,0
41,1,0,2,0
41,1,1,0,0
41,1,1,1,0
41,1,1,2,0
41,2,0,0,0
41,2,0,1,0
41,2,0,2,0
41,2,1,0,0
41,2,1,1,0
41,2,1,2,0
41,3,0,0,1
41,3,0,1,0
41,3,0,2,0
41,3,1,0,0
41,3,1,1,0
41,3,1,2,0
41,4,0,0,1
41,4,0,1,0
41,4,0,2,0
41,4,1,0,0
41,4,1,1,0
41,4,1,2,0
41,5,0,0,1
41,5,0,1,0
41,5,0,2,0
41,5,1,0,0
41,5,1,1,0
41,5,1,2,0
41,6,0,0,1
41,6,0,1,0
41,6,0,2,0
41,6,1,0,0
41,6,1,1,0
41,6,1,2,0
41,7,0,0,1
41,7,0,1,0
41,7,0,2,0
41,7,1,0,0
41,7,1,1,0
41,7,1,2,0
41,8,0,0,1
41,8,0,1,0
41,8,0,2,0
41,8,1,0,0
41,8,1,1,0
41,8,1,2,0
41,9,0,0,1
41,9,0,1,0
41,9,0,2,0
41,9,1,0,0
41,9,1,1,0
41,9,1,2,0
41,10,0,0,1
41,10,0,1,0
41,10,0,2,0
41,10,1,0,0
41,10,1,1,0
41,10,1,2,0
42,0,0,0,0
42,0,0,1,0
42,0,0,2,0
42,0,1,0,0
42,0,1,1,0
42,0,1,2,0
42,1,0,0,0
42,1,0,1,0
42,1,0,2,0
42,1,1,0,0
42,1,1,1,0
42,1,1,2,0
42,2,0,0,0
42,2,0,1,0
42,2,0,2,0
42,2,1,0,0
42,2,1,1,0
42,2,1,2,0
42,3,0,0,0
42,3,0,1,0
42,3,0,2,0
42,3,1,0,0
42,3,1,1,0
42,3,1,2,0
42,4,0,0,0
42,4,0,1,0
42,4,0,2,0
42,4,1,0,0
42,4,1,1,0
42,4,1,2,0
42,5,0,0,0
42,5,0,1,0
42,5,0,2,0
42,5,1,0,0
42,5,1,1,0
42,5,1,2,0
42,6,0,0,0
42,6,0,1,0
42,6,0,2,0
42,6,1,0,0
42,6,1,1,0
42,6,1,2,0
42,7,0,0,0
42,7,0,1,0
42,7,0,2,0
42,7,1,0,0
42,7,1,1,0
42,7,1,2,0
42,8,0,0,0
42,8,0,1,0
42,8,0,2,0
42,8,1,0,0
42,8,1,1,0
42,8,1,2,0
42,9,0,0,0
42,9,0,1,0
42,9,0,2,0
42,9,1,0,0
42,9,1,1,0
42,9,1,2,0
42,10,0,0,0
42,10,0,1,0
42,10,0,2,0
42,10,1,0,0
42,10,1,1,0
42,10,1,2,0
43,0,0,0,0
43,0,0,1,0
43,0,0,2,0
43,0,1,0,0
43,0,1,1,0
43,0,1,2,0
43,1,0,0,0
43,1,0,1,0
43,1,0,2,0
43,1,1,0,0
43,1,1,1,0
43,1,1,2,0
43,2,0,0,0
43,2,0,1,0
43,2,0,2,0
43,2,1,0,0
43,2,1,1,0
43,2,1,2,0
43,3,0,0,0
43,3,0,1,0
43,3,0,2,0
43,3,1,0,0
43,3,1,1,0
43,3,1,2,0
43,4,0,0,0
43,4,0,1,0
43,4,0,2,0
43,4,1,0,0
43,4,1,1,0
43,4,1,2,0
43,5,0,0,0
43,5,0,1,0
43,5,0,2,0
43,5,1,0,0
43,5,1,1,0
43,5,1,2,0
43,6,0,0,0
43,6,0,1,0
43,6,0,2,0
43,6,1,0,0
43,6,1,1,0
43,6,1,2,0
43,7,0,0,0
43,7,0,1,0
43,7,0,2,0
43,7,1,0,0
43,7,1,1,0
43,7,1,2,0
43,8,0,0,0
43,8,0,1,0
43,8,0,2,0
43,8,1,0,0
43,8,1,1,0
43,8,1,2,0
43,9,0,0,0
43,9,0,1,0
